45861448003026490GH PNWWLA 2810264900007270010226100012MANISCH CHICKEN BROTH ASEPTIC MANIS CHX BRTH ASP   32 OZ   32.00OZ02       1000265402017122300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000N   00000067000670190303382NN20171209 N00012000265400000000000000000000000000388020171021201712220066494000000000000000000000000000000000000000000000000000000000000000000000000000100004490+50700D2017100720171222000000000000000000000000000000000+00000000000000N    2SF                 1324R00100004790+441891320R00000000000+000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 00000 0000727001022610002600000470070000750015500000000000000449  X
45861448003026630GH PNWWLA 2810266300007270010227800012MANISCH RED SOD CHCKN BRTH ASPMAN RS CHKN BR ASP   32 OZ   32.00OZ02       1000265402017122300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000N   00000067000670190303382NN20171209 N00012000265400000000000000000000000000388020171021201712220066494000000000000000000000000000000000000000000000000000000000000000000000000000100004490+50700D2017100720171222000000000000000000000000000000000+00000000000000N    2SF                 1324R00100004790+441891320R00000000000+000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 00000 0000727001022780002600000470070000750015500000000000000449  X
45861448003030230GH PNWWLI 1000000000003574222111000012HV CHX BR NS                  HV CHX BR NS      14.25Z      0.00          12000203302017122300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000N   0000003700037004         20171209 N00012000203300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100003650+53600 0000000000000000000000000000000000000000000000000+00000000000000N                        1324R00000000000+000001320R00000000000+000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 00000 0000000000000000000000000000000000000000000000000000000365  X
45861448003036120GH PNWWLI 1000000000009034131100000006VRGLDT ROOTBER                VRGLDT ROOTBER    4/12Z       0.00           6000221102017122300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000N   0000003560035605         20171209 N00006000210100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100006390+45200 0000000000000000000000000000000000000000000000000+00000000000000N                        1324R00100004990+153971320R00000000000+000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 00000 0000000000000000000000000000000000000000000000000000000672  X
45861448003039060GH PNWWLA 2510390600077000901048400024IF YOU CARE BAKING CUPS LARGE IYC BAK CUP LARGE    60 CT   60.00CT17       1000266902017122300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000N   0000003800038010       NN20171209 N00024000266900002400201711252017122200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100002290+51400D2017111120171222000000000000000000000000000000000+00000000000000N    2SF                 1324R00100001890+304891320R00000000000+000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 00000 0007700090104840000235000410086000660012400000000000000229  X
45861448003041400GH PNWWLA 2510414000077000901020000012IF YOU CARE BAK PARCH 13X65   IYC PARCHMNT 13X65   70 FT   70.00FT05       1000420502017122300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000N   0000003990039950       NN20171209 N00012000420500003600201711252017122200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100006890+49100D2017111120171222000000000000000000000000000000000+00000000000000N    2SF                 1324R00100005990+314131320R00000000000+000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 00000 0007700090102000000855000410144000630007800000000000000689  X
45861448003045190GH PNWWLA 2810451900007270006235000012MANISCH MATZO EVERYTHING      MANISCH MATZO        10 OZ   10.00OZ02       1000257902017122300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000N   00000067000670100302425NN20171209 N00012000257900000000000000000000000000318020171021201712220066494000000000000000000000000000000000000000000000000000000000000000000000000000100003990+46100D2017100720171222000000000000000000000000000000000+00000000000000N    2SF                 1324R00000000000+000001320R00000000000+000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 00000 0000727000623500001000000800068000950021500000000000000399  X
45861448003045790GH PNWWLA 2810457900007270000064200012MANISCH POTATO PANCAKE MIX    MANISCH POT PANCAK    6 OZ    6.00OZ02       1000246902017122300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000N   00000067000670160300701NN20171209 N00012000246900000000000000000000000000640020171021201712220066494000000000000000000000000000000000000000000000000000000000000000000000000000100004490+54200D2017100720171222000000000000000000000000000000000+00000000000000N    2SF                 1324R00100004390+433371320R00100004390+433370000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 00000 0000727000006420000595000320076000810009000000000000000449  X
45861448003048050GH PNWWLA 2810480500007513105017000024GOODMANS SOUP/DIP MX ONION    GDMN S/D MIX ONION 2.75 OZ    2.75OZ02       1000328102017122300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000N   0000006700067019       NN20171209 N00024000328100000000000000000000000000999020171021201712220051088000000000000000000000000000000000000000000000000000000000000000000000000000100002750+50300D2017100720171222000000000000000000000000000000000+00000000000000N    2SF                 1324R00000000000+000001320R00000000000+000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 00000 0000751310501700000700000590125000650012500000000000000275  X
45861448003052930GH PNWWLA 2810529300009370910070600006PAMELAS CKY CHNKY CHOC CHIP GFPEMALS CHNKY CHOC  7.25 OZ    7.25OZ02       1000154102017122300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000N   00000037400374010303394NN20171209 N00006000154100000000000000000000000000203020171125201712220043583000000000000000000000000000000000000000000000000000000000000000000000000000100004490+42800D2017111120171222000000000000000000000000000000000+00000000000000N    2SF                 1324R00100004190+270491320R00000000000+000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 00000 0100937091007030000385000370071000840010800000000000000449  X
