 458654586520171128          1        +0000003739+0000000000+0000016399+0004020411+0002073147+0006113696+0000000000+0000000000
 45865458652017112801227901  21709256INV20171005+0000003739MC PORTLAND SALES DELI  294000S DELI  0   40000NEW SEASONS MKT SEVEN CRNRS      GSC DLPO
 458654586520171128FC-002338321711274LPF20171127+0000016399LATE PAYMENT FEE        00                     NEW SEASONS MKT SEVEN CRNRS      CGC MISC
 45865458652017112801279792  21711153INV20171130+0000004742BILLING - DARY          272000        5   20005NEW SEASONS MKT SEVEN CRNRS      CGC DAPO
 45865458652017112801279793  21711153INV20171130+0000014475BILLING - DARY          272000        5   20005NEW SEASONS MKT SEVEN CRNRS      CGC DAPO
 45865458652017112801270176  21711173INV20171130+0000034957BILLING - DARY          272000        5   20005NEW SEASONS MKT SEVEN CRNRS      CGC DAPO
 45865458652017112801270177  21711173INV20171130+0000016533BILLING - DARY          272000        5   20005NEW SEASONS MKT SEVEN CRNRS      CGC DAPO
 45865458652017112801270494  21711203INV20171130+0000012136BILLING - DARY          272000        5   20005NEW SEASONS MKT SEVEN CRNRS      CGC DAPO
 45865458652017112801270495  21711203INV20171130+0000004509BILLING - DARY          272000        5   20005NEW SEASONS MKT SEVEN CRNRS      CGC DAPO
 45865458652017112801223346  21711153INV20171130+0000067069BILLING - DELI C        222000        5   20005NEW SEASONS MKT SEVEN CRNRS      CGC DLPO
 45865458652017112801223347  21711153INV20171130+0000122008BILLING - DELI C        222000        5   20005NEW SEASONS MKT SEVEN CRNRS      CGC DLPO
 45865458652017112801223348  21711153INV20171130+0000011522BILLING - DELI C        222000        5   20005NEW SEASONS MKT SEVEN CRNRS      CGC DLPO
 45865458652017112801223350  21711153INV20171130+0000002137BILLING - DELI C        222000        5   20005NEW SEASONS MKT SEVEN CRNRS      CGC DLPO
 4586545865201711280103612   21711163C/M20171130-0000002268ADJ DELI 1220541        222120        0   21200NEW SEASONS MKT SEVEN CRNRS      CGC DLPO
 45865458652017112801224246  21711173INV20171130+0000184578BILLING - DELI C        222000        5   20005NEW SEASONS MKT SEVEN CRNRS      CGC DLPO
 45865458652017112801224247  21711173INV20171130+0000053427BILLING - DELI G        222008        0   20080NEW SEASONS MKT SEVEN CRNRS      CGC DLPO
 45865458652017112801224248  21711173INV20171130+0000285336BILLING - DELI C        222000        5   20005NEW SEASONS MKT SEVEN CRNRS      CGC DLPO
 45865458652017112801224249  21711173INV20171130+0000025325BILLING - DELI C        222000        5   20005NEW SEASONS MKT SEVEN CRNRS      CGC DLPO
 45865458652017112801224251  21711173INV20171130+0000002137BILLING - DELI C        222000        5   20005NEW SEASONS MKT SEVEN CRNRS      CGC DLPO
 45865458652017112801224892  21711203INV20171130+0000084556BILLING - DELI C        222000        5   20005NEW SEASONS MKT SEVEN CRNRS      CGC DLPO
 45865458652017112801224893  21711203INV20171130+0000226867BILLING - DELI C        222000        5   20005NEW SEASONS MKT SEVEN CRNRS      CGC DLPO
 45865458652017112801224894  21711203INV20171130+0000023571BILLING - DELI C        222000        5   20005NEW SEASONS MKT SEVEN CRNRS      CGC DLPO
 45865458652017112801224896  21711203INV20171130+0000004275BILLING - DELI C        222000        5   20005NEW SEASONS MKT SEVEN CRNRS      CGC DLPO
 458654586520171128NB0073619121711213INV20171130+000000783301221121 - DELIVERY FEE 222020ERY FEE 0   20200NEW SEASONS MKT SEVEN CRNRS      CGC DLPO
 45865458652017112802221165  21711153INV20171130+0000004878MC SALES SEATTLE DELI   224000 DELI   5   40005NEW SEASONS MKT SEVEN CRNRS      CGC DLWA
 45865458652017112802222258  21711173INV20171130+0000030114MC SALES SEATTLE DELI   224000 DELI   5   40005NEW SEASONS MKT SEVEN CRNRS      CGC DLWA
 45865458652017112802222259  21711173INV20171130+0000012940MC SALES SEATTLE DELI   224000 DELI   5   40005NEW SEASONS MKT SEVEN CRNRS      CGC DLWA
 45865458652017112802223609  21711203INV20171130+0000030575MC SALES SEATTLE DELI   224000 DELI   5   40005NEW SEASONS MKT SEVEN CRNRS      CGC DLWA
 45865458652017112802223610  21711203INV20171130+0000006470MC SALES SEATTLE DELI   224000 DELI   5   40005NEW SEASONS MKT SEVEN CRNRS      CGC DLWA
 45865458652017112801216102  21711153INV20171130+0000018702BILLING - FROZ FOOD     212000OOD     5   20005NEW SEASONS MKT SEVEN CRNRS      CGC FFPO
 45865458652017112801216492  21711173INV20171130+0000004372BILLING - FROZ FOOD     212000OOD     0   20000NEW SEASONS MKT SEVEN CRNRS      CGC FFPO
 45865458652017112801216493  21711173INV20171130+0000046930BILLING - FROZ FOOD     212000OOD     5   20005NEW SEASONS MKT SEVEN CRNRS      CGC FFPO
 45865458652017112801216812  21711203INV20171130+0000045279BILLING - FROZ FOOD     212000OOD     5   20005NEW SEASONS MKT SEVEN CRNRS      CGC FFPO
 458654586520171128NB0073619021711213INV20171130+000000188301211121 - DELIVERY FEE 212020ERY FEE 0   20200NEW SEASONS MKT SEVEN CRNRS      CGC FFPO
 45865458652017112802217158  21711173INV20171130+0000003055MC SALES SEATTLE FROZEN 214000 FROZEN 5   40005NEW SEASONS MKT SEVEN CRNRS      CGC FFWA
 45865458652017112801200399  21711153INV20171130+0000366383BILLING - GROC          202000        5   20005NEW SEASONS MKT SEVEN CRNRS      CGC GRPO
 45865458652017112801200400  21711153INV20171130+0000003283BILLING - GROC          202000        5   20005NEW SEASONS MKT SEVEN CRNRS      CGC GRPO
 45865458652017112801201525  21711173INV20171130+0000019515BILLING - GROC          202000        1   20001NEW SEASONS MKT SEVEN CRNRS      CGC GRPO
 45865458652017112801201526  21711173INV20171130+0000088231BILLING - GROC          202000        5   20005NEW SEASONS MKT SEVEN CRNRS      CGC GRPO
 45865458652017112801201527  21711173INV20171130+0000009990BILLING - GROC          202000        5   20005NEW SEASONS MKT SEVEN CRNRS      CGC GRPO
 45865458652017112801201528  21711173INV20171130+0000004956BILLING - GROC          202000        5   20005NEW SEASONS MKT SEVEN CRNRS      CGC GRPO
 45865458652017112801201559  21711173INV20171130+0000227785BILLING - GROC          202000        5   20005NEW SEASONS MKT SEVEN CRNRS      CGC GRPO
