 458674586720171128          1        +0000000000+0000000000+0000013001+0003146562+0002354971+0005514534+0000000000+0000000000
 45867458672017112801202361  21711203INV20171130+0000229515BILLING - GROC          202000        0   20000NEW SEASONS MARKET, LLC - MT PAR CGC GRPO
 45867458672017112801202362  21711203INV20171130+0000002321BILLING - INSTITUT      202004UT      0   20040NEW SEASONS MARKET, LLC - MT PAR CGC GRPO
 45867458672017112801202363  21711203INV20171130+0000024340BILLING - REPACK        202005        0   20050NEW SEASONS MARKET, LLC - MT PAR CGC GRPO
 458674586720171128NB0073620321711213INV20171130+000002830601201121 - DELIVERY FEE 202020ERY FEE 0   20200NEW SEASONS MARKET, LLC - MT PAR CGC GRPO
 45867458672017112801238679  21711153INV20171130+0000078101BILLING - HABA          232000        0   20000NEW SEASONS MARKET, LLC - MT PAR CGC HBPO
 45867458672017112801238680  21711153INV20171130+0000018860BILLING - HABA          232000        0   20000NEW SEASONS MARKET, LLC - MT PAR CGC HBPO
 45867458672017112801238940  21711173INV20171130+0000029337BILLING - HABA          232000        0   20000NEW SEASONS MARKET, LLC - MT PAR CGC HBPO
 45867458672017112801239204  21711203INV20171130+0000056357BILLING - HABA          232000        0   20000NEW SEASONS MARKET, LLC - MT PAR CGC HBPO
 458674586720171128NB0073620621711213INV20171130+000000085001231121 - DELIVERY FEE 232020ERY FEE 0   20200NEW SEASONS MARKET, LLC - MT PAR CGC HBPO
 45867458672017112801240267  21711153INV20171130+0000005786BILLING - HDWE          242000        0   20000NEW SEASONS MARKET, LLC - MT PAR CGC HDPO
 45867458672017112801240600  21711173INV20171130+0000019844BILLING - HDWE          242000        0   20000NEW SEASONS MARKET, LLC - MT PAR CGC HDPO
 45867458672017112801240959  21711203INV20171130+0000005121BILLING - HDWE          242000        0   20000NEW SEASONS MARKET, LLC - MT PAR CGC HDPO
 458674586720171128NB0073620721711213INV20171130+000000025901241121 - DELIVERY FEE 242020ERY FEE 0   20200NEW SEASONS MARKET, LLC - MT PAR CGC HDPO
 45867458672017112801313489  21711153INV20171130+0000025594BILLING - PNW ICE CREAM 312000E CREAM 0   20000NEW SEASONS MARKET, LLC - MT PAR CGC ICPO
 45867458672017112801313708  21711173INV20171130+0000039396BILLING - PNW ICE CREAM 312000E CREAM 0   20000NEW SEASONS MARKET, LLC - MT PAR CGC ICPO
 45867458672017112801313842  21711203INV20171130+0000073598BILLING - PNW ICE CREAM 312000E CREAM 0   20000NEW SEASONS MARKET, LLC - MT PAR CGC ICPO
 458674586720171128NB0073620921711213INV20171130+000000313701311121 - DELIVERY FEE 312020ERY FEE 0   20200NEW SEASONS MARKET, LLC - MT PAR CGC ICPO
 458674586720171128NB0072817721711163INV20171130+0000005200CM - PNW-Retail Pricing 002216Pricing 0   22160NEW SEASONS MARKET, LLC - MT PAR CGC MISC
 45867458672017112801251228  21711173INV20171130+0000008052MEAT INVOICE            252030        0   20300NEW SEASONS MARKET, LLC - MT PAR CGC MTPO
 45867458672017112801252041  21711203INV20171130+0000016103MEAT INVOICE            252030        0   20300NEW SEASONS MARKET, LLC - MT PAR CGC MTPO
 4586745867201711282441273   21711183INV20171130+0000009871B/T CHARLIE PRODUCE     286254UCE     0   62540NEW SEASONS MARKET, LLC - MT PAR CGC PRPO
 4586745867201711282442824   21711213INV20171130+0000048850B/T CHARLIE PRODUCE     286254UCE     0   62540NEW SEASONS MARKET, LLC - MT PAR CGC PRPO
 45867458672017112801250005  21711153INV20171130+0000013670FROZEN FOOD SERVICE     252032ICE     0   20320NEW SEASONS MARKET, LLC - MT PAR CGC SDPO
 45867458672017112801251215  21711173INV20171130+0000036297BILLING - SERV DELI     252032ELI     1   20321NEW SEASONS MARKET, LLC - MT PAR CGC SDPO
 45867458672017112801252055  21711203INV20171130+0000004087SERV-BAK FRZN FD SVC    252032 SVC    7   20327NEW SEASONS MARKET, LLC - MT PAR CGC SDPO
 458674586720171128NB0073176521711173INV20171130+00000060000583788 - INTERACTIVE OR002374CTIVE OR0   23740NEW SEASONS MARKET, LLC - MT PAR CGC SERV
 45867458672017112801223304  21711153INV20171130+0000005784MC PORTLAND SALES DELI  294000S DELI  0   40000NEW SEASONS MARKET, LLC - MT PAR GSC DLPO
 45867458672017112801223305  21711153INV20171130+0000010332MC PORTLAND SALES DELI  294000S DELI  0   40000NEW SEASONS MARKET, LLC - MT PAR GSC DLPO
 45867458672017112801224281  21711173INV20171130+0000011975BILLING - DELI M        294009        0   40090NEW SEASONS MARKET, LLC - MT PAR GSC DLPO
 45867458672017112801224283  21711173INV20171130+0000005371MC PORTLAND SALES DELI  294000S DELI  0   40000NEW SEASONS MARKET, LLC - MT PAR GSC DLPO
 45867458672017112801224284  21711173INV20171130+0000003441MC PORTLAND SALES DELI  294000S DELI  0   40000NEW SEASONS MARKET, LLC - MT PAR GSC DLPO
 45867458672017112801224908  21711203INV20171130+0000011975BILLING - DELI M        294009        0   40090NEW SEASONS MARKET, LLC - MT PAR GSC DLPO
 45867458672017112801224910  21711203INV20171130+0000022784MC PORTLAND SALES DELI  294000S DELI  0   40000NEW SEASONS MARKET, LLC - MT PAR GSC DLPO
 45867458672017112801224911  21711203INV20171130+0000006811MC PORTLAND SALES DELI  294000S DELI  0   40000NEW SEASONS MARKET, LLC - MT PAR GSC DLPO
 45867458672017112801216504  21711173INV20171130+0000008901MC PORTLAND SALE FROZEN 294000 FROZEN 0   40000NEW SEASONS MARKET, LLC - MT PAR GSC FFPO
 45867458672017112801216816  21711203INV20171130+0000005269MC PORTLAND SALE FROZEN 294000 FROZEN 0   40000NEW SEASONS MARKET, LLC - MT PAR GSC FFPO
 45867458672017112802036728  21711163INV20171130+0000059548BILLING - MC GROC       034000C       0   40000NEW SEASONS MARKET, LLC - MT PAR GSC GRNO
 45867458672017112802038524  21711183INV20171130+0000001543BILLING - MC GROC       034000C       0   40000NEW SEASONS MARKET, LLC - MT PAR GSC GRNO
 45867458672017112802031414  21711213INV20171130+0000010217BILLING - MC GROC       034000C       0   40000NEW SEASONS MARKET, LLC - MT PAR GSC GRNO
